name,category,phone_public,phone_raw_public_source,phone_status,email_public,website,website_verified,whatsapp_public,whatsapp_status,contact_consent,current_1405_exhibitor_status,source_period,source_url,recommended_next_step
MRD,صنایع وابسته در و پنجره — نیازمند بررسی,04434372757,44 34372757,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
Persian door,درب,02177649475,21 77649475,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
mecaco,صنایع وابسته در و پنجره — نیازمند بررسی,02146811174,21 46811174,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
zibogroup,صنایع وابسته در و پنجره — نیازمند بررسی,02144031485,21 44031485,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آبایان پروفیل,پروفیل,06142264220,61 42264220,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آبنوس جام کرج,شیشه,02634706969,26 34706969,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آتا پلیمر صنعت ارس,مواد اولیه و پلیمر,04142277961,41 42277961,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آدوپن پلاستیک پرشین(وین تک),پنجره و UPVC/PVC,04132466333,41 32466333,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آدوپن پلاستیک پرشین(پلاس تک),مواد اولیه و پلیمر,04132466333,41 32466333,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آدوپن پلاستیک پرشین(پلاس پن),مواد اولیه و پلیمر,04132466333,41 32466333,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
